"","Admission Date","Company Name","ICB Industry","ICB Super-Sector","Country of Incorporation","World Region","Market","International Issuer","Company Market Cap (£m)"
"","18/06/1947","CARDIFF PROPERTY PLC","Real Estate","Real Estate ","United Kingdom","Europe","MAIN MARKET ","No","21.39"
"","12/10/2005","CARETECH HOLDINGS PLC","Health Care ","Health Care  ","United Kingdom","Europe","AIM ","No","510.43"
"","02/06/1999","CARIBBEAN INVESTMENT HOLDINGS LIMITED","Financials","Banks","Belize","Latin America","AIM ","Yes","29.97"
"","30/07/1999","CARILLION PLC","Industrials","Industrial Goods and Services","United Kingdom","Europe","MAIN MARKET ","No","61.1"
"","23/10/2000","CARNIVAL PLC","Consumer Discretionary","Travel and Leisure","United Kingdom","Europe","MAIN MARKET ","No","5,684.83"
"","17/05/1972","CARR'S GROUP PLC","Consumer Staples ","Food, Beverage and Tobacco ","United Kingdom","Europe","MAIN MARKET ","No","146"
"","03/03/2008","CASPIAN SUNRISE PLC","Energy","Energy","United Kingdom","Europe","AIM ","No","147.79"
"","25/03/1973","CASTINGS PLC","Basic Materials","Basic Resources","United Kingdom","Europe","MAIN MARKET ","No","187.62"
"","22/05/2006","CASTLETON TECHNOLOGY PLC","Technology","Technology","United Kingdom","Europe","AIM ","No","58.42"
"","02/09/2005","CATALYST MEDIA GROUP PLC","Telecommunications","Telecommunications","United Kingdom","Europe","AIM ","No","13.99"
"","20/12/2010","CATCO REINSURANCE OPPORTUNITIES FUND LIMITED","Financials","Financial Services ","Bermuda","North America","MAIN MARKET ","Yes","181.77"
"","01/07/2003","CATENAE INNOVATION PLC","","","United Kingdom","Europe","AIM ","No","0.25"
"","27/09/2004","CATHAY FINANCIAL HOLDING CO LTD","Financials","Insurance","Taiwan","Asia","ADMISSION TO TRADING ONLY ","Yes","-"
"","12/03/2001","CATHAY INTERNATIONAL HOLDINGS LD","Health Care ","Health Care  ","Bermuda","North America","MAIN MARKET ","Yes","10.41"
"","19/05/2004","C&C GROUP PLC","Consumer Staples ","Food, Beverage and Tobacco ","Ireland","Europe","MAIN MARKET ","Yes","1,110.97"
"","15/12/2015","CC JAPAN INCOME & GROWTH TRUST PLC","Financials","Financial Services ","United Kingdom","Europe","MAIN MARKET ","No","206.14"
"","22/10/2018","CEIBA INVESTMENTS LIMITED","Financials","Financial Services ","Guernsey","Europe","MAIN MARKET ","No","96.37"
"","09/11/2004","CELLO HEALTH PLC","Health Care ","Health Care  ","United Kingdom","Europe","AIM ","No","144.07"
"","22/12/2005","CELTIC PLC","Consumer Discretionary","Travel and Leisure","United Kingdom","Europe","AIM ","No","195.22"
"","31/10/2006","CENKOS SECURITIES PLC","Financials","Financial Services ","United Kingdom","Europe","AIM ","No","30.05"
"","30/12/2011","CENTAMIN PLC","Basic Materials","Basic Resources","Jersey","Europe","MAIN MARKET ","No","1,572.10"
"","17/12/2004","CENTAUR MEDIA PLC","Consumer Discretionary","Media","United Kingdom","Europe","MAIN MARKET ","No","53.44"
"","30/09/2010","CENTRAL ASIA METALS PLC","Basic Materials","Basic Resources","United Kingdom","Europe","AIM ","No","356.45"
"","02/09/2013","CENTRALNIC GROUP PLC","Technology","Technology","United Kingdom","Europe","AIM ","No","158.78"
"","17/02/1997","CENTRICA PLC","Utilities","Utilities","United Kingdom","Europe","MAIN MARKET ","No","4,937.14"
"","13/02/2007","CEPS PLC","Industrials","Industrial Goods and Services","United Kingdom","Europe","AIM ","No","5.36"
"","25/11/2004","CERES POWER HOLDINGS PLC","Energy","Energy","United Kingdom","Europe","AIM ","No","649.67"
"","18/03/2016","CERILLION PLC","Technology","Technology","United Kingdom","Europe","AIM ","No","68.47"
"","11/07/1996","CG POWER AND INDUSTRIAL SOLUTIONS LIMITED","Industrials","Industrial Goods and Services","India","Asia","PROFESSIONAL SECURITIES MARKET ","Yes","-"
"","08/11/2007","CHAARAT GOLD HOLDINGS LTD","Basic Materials","Basic Resources","British Virgin Islands","North America","AIM ","Yes","181.48"
"","18/12/2015","CHALLENGER ACQUISITIONS LIMITED","Financials","Financial Services ","Guernsey","Europe","MAIN MARKET ","No","0.43"
"","23/11/2006","CHAMBERLIN PLC","Basic Materials","Basic Resources","United Kingdom","Europe","AIM ","No","2.39"
"","30/12/2005","CHARACTER GROUP PLC","Consumer Discretionary","Consumer Products and Services","United Kingdom","Europe","AIM ","No","66.06"
"","19/05/2008","CHARIOT OIL & GAS LIMITED","Energy","Energy","Guernsey","Europe","AIM ","No","11.54"
"","31/10/1960","CHARLES STANLEY GROUP PLC","Financials","Financial Services ","United Kingdom","Europe","MAIN MARKET ","No","169.51"
"","19/04/1999","CHECKIT PLC","Industrials","Industrial Goods and Services","United Kingdom","Europe","AIM ","No","18.92"
"","09/08/2001","CHELVERTON GROWTH TRUST PLC","Financials","Financial Services ","United Kingdom","Europe","MAIN MARKET ","No","2.18"
"","12/05/1999","CHELVERTON UK DIVIDEND TRUST PLC","Financials","Financial Services ","United Kingdom","Europe","MAIN MARKET ","No","42.33"
"","07/06/1974","CHEMRING GROUP PLC","Industrials","Industrial Goods and Services","United Kingdom","Europe","MAIN MARKET ","No","763.58"
"","07/10/2013","CHENAVARI CAPITAL SOLUTIONS LIMITED","Financials","Financial Services ","Guernsey","Europe","MAIN MARKET ","No","20.15"
"","08/05/2015","CHENAVARI TORO INCOME FUND LIMITED","Financials","Financial Services ","Guernsey","Europe","MAIN MARKET ","No","206.33"
"","25/05/2004","CHESNARA PLC","Financials","Insurance","United Kingdom","Europe","MAIN MARKET ","No","488.45"
"","29/08/2017","CHESTERFIELD RESOURCES PLC","Financials","Financial Services ","United Kingdom","Europe","MAIN MARKET ","No","1.89"
"","23/05/2011","CHINA NEW ENERGY LIMITED","Industrials","Construction and Materials","Jersey","Europe","AIM ","No","12.67"
"","02/12/2004","CHINA NONFERROUS GOLD LIMITED","Basic Materials","Basic Resources","Cayman Islands","North America","AIM ","Yes","43.59"
"","18/10/2000","CHINA PETROLEUM & CHEMICAL CORPORATION","Energy","Energy","China","Asia","MAIN MARKET ","Yes","-"
"","23/03/2005","CHINA STEEL CORPORATION","Basic Materials","Basic Resources","Taiwan","Asia","ADMISSION TO TRADING ONLY ","Yes","-"
"","10/11/2005","CHRISTIE GROUP PLC","Industrials","Industrial Goods and Services","United Kingdom","Europe","AIM ","No","34.09"
"","04/04/2001","CHRYSALIS VCT PLC","Financials","Financial Services ","United Kingdom","Europe","MAIN MARKET ","No","15.52"
"","22/04/2003","CHURCHILL CHINA PLC","Consumer Discretionary","Consumer Products and Services","United Kingdom","Europe","AIM ","No","218.63"
"","02/05/2007","CINEWORLD GROUP PLC","Consumer Discretionary","Travel and Leisure","United Kingdom","Europe","MAIN MARKET ","No","2,432.47"
"","21/12/2017","CIP MERCHANT CAPITAL LIMITED","Financials","Financial Services ","Guernsey","Europe","AIM ","No","28.88"
"","18/03/2014","CIRCASSIA PHARMACEUTICALS PLC","Health Care ","Health Care  ","United Kingdom","Europe","AIM ","No","103.93"
"","16/02/2016","CIRCLE PROPERTY PLC","Real Estate","Real Estate ","Jersey","Europe","AIM ","No","58.01"
"","02/04/2012","CITY MERCHANTS HIGH YIELD TRUST LIMITED","Financials","Financial Services ","Jersey","Europe","MAIN MARKET ","No","197.65"
"","01/08/1996","CITY OF LONDON GROUP PLC","Financials","Financial Services ","United Kingdom","Europe","AIM ","No","52.95"
"","29/10/2010","CITY OF LONDON INVESTMENT GROUP PLC","Financials","Financial Services ","United Kingdom","Europe","MAIN MARKET ","No","119.12"
"","04/05/1955","CITY OF LONDON INVESTMENT TRUST PLC","Financials","Financial Services ","United Kingdom","Europe","MAIN MARKET ","No","1,721.80"
"","23/11/2017","CITY PUB GROUP PLC (THE)","Consumer Discretionary","Travel and Leisure","United Kingdom","Europe","AIM ","No","112.53"
"","18/11/2016","CIVITAS SOCIAL HOUSING PLC","Real Estate","Real Estate ","United Kingdom","Europe","MAIN MARKET ","No","615.43"
"","30/06/1986","CLARKSON PLC","Industrials","Industrial Goods and Services","United Kingdom","Europe","MAIN MARKET ","No","886.83"
"","07/04/2000","CLEAR LEISURE PLC","Financials","Financial Services ","United Kingdom","Europe","AIM ","No","1.59"
"","11/07/2014","CLEARSTAR INC.","Industrials","Industrial Goods and Services","Cayman Islands","North America","AIM ","Yes","19.09"
"","25/09/2012","CLINIGEN GROUP PLC","Health Care ","Health Care  ","United Kingdom","Europe","AIM ","No","1,287.30"
"","04/06/2014","CLIPPER LOGISTICS PLC","Industrials","Industrial Goods and Services","United Kingdom","Europe","MAIN MARKET ","No","262.8"
"","30/06/2005","CLONTARF ENERGY PLC","Basic Materials","Basic Resources","United Kingdom","Europe","AIM ","No","7.35"
"","24/07/1962","CLOSE BROTHERS GROUP PLC","Financials","Banks","United Kingdom","Europe","MAIN MARKET ","No","2,142.54"
"","14/12/2005","CLOUDBUY PLC","Technology","Technology","United Kingdom","Europe","AIM ","No","0.26"
"","22/08/2006","CLOUDCALL GROUP PLC","Technology","Technology","United Kingdom","Europe","AIM ","No","36.42"
"","15/02/2006","CLOUDCOCO GROUP PLC","Telecommunications","Telecommunications","United Kingdom","Europe","AIM ","No","6.07"
"","27/05/1994","CLS HOLDINGS PLC","Real Estate","Real Estate ","United Kingdom","Europe","MAIN MARKET ","No","1,106.08"
"","11/05/2012","CLUFF NATURAL RESOURCES PLC","Energy","Energy","United Kingdom","Europe","AIM ","No","22.14"
"","05/02/2016","CMC MARKETS PLC","Financials","Financial Services ","United Kingdom","Europe","MAIN MARKET ","No","453.34"
"","18/07/1996","CML MICROSYSTEMS PLC","Technology","Technology","United Kingdom","Europe","MAIN MARKET ","No","62.85"
"","07/01/1948","COATS GROUP PLC","Industrials","Industrial Goods and Services","United Kingdom","Europe","MAIN MARKET ","No","1,093.73"
"","15/11/2018","COBRA RESOURCES PLC","Financials","Financial Services ","United Kingdom","Europe","MAIN MARKET ","No","1.77"
"","28/03/2019","COCA-COLA EUROPEAN PARTNERS PLC","Consumer Staples ","Food, Beverage and Tobacco ","United Kingdom","Europe","MAIN MARKET ","No","18,637.20"
"","29/04/2013","COCA-COLA HBC AG","Consumer Staples ","Food, Beverage and Tobacco ","Switzerland","Europe","MAIN MARKET ","Yes","10,120.76"
"","01/06/2018","CODEMASTERS GROUP HOLDINGS PLC","Consumer Discretionary","Consumer Products and Services","United Kingdom","Europe","AIM ","No","450.17"
"","08/03/2006","COHORT PLC","Industrials","Industrial Goods and Services","United Kingdom","Europe","AIM ","No","283.44"
"","19/08/2004","COLEFAX GROUP PLC","Consumer Discretionary","Consumer Products and Services","United Kingdom","Europe","AIM ","No","38.8"
"","10/12/2014","COLLAGEN SOLUTIONS PLC","Health Care ","Health Care  ","United Kingdom","Europe","AIM ","No","14.86"
"","16/11/2007","COLUMBUS ENERGY RESOURCES PLC","Energy","Energy","United Kingdom","Europe","AIM ","No","22.05"
"","31/07/1996","COMMERCIAL INTERNATIONAL BANK (EGYPT) S.A.E.","Financials","Banks","Egypt","Middle East","MAIN MARKET ","Yes","-"
"","02/07/1987","COMPAGNIE DE SAINT-GOBAIN","Industrials","Construction and Materials","France","Europe","MAIN MARKET ","Yes","15,675.44"
"","21/12/2009","COMPAL ELECTRONICS INC","Technology","Technology","Taiwan","Asia","ADMISSION TO TRADING ONLY ","Yes","-"
"","02/02/2001","COMPASS GROUP PLC","Consumer Discretionary","Consumer Products and Services","United Kingdom","Europe","MAIN MARKET ","No","29,808.02"
"","21/06/2016","COMPTOIR GROUP PLC","Consumer Discretionary","Travel and Leisure","United Kingdom","Europe","AIM ","No","10.43"
"","29/05/1998","COMPUTACENTER PLC","Technology","Technology","United Kingdom","Europe","MAIN MARKET ","No","2,047.69"
"","26/07/2016","CONCEPTA PLC","Health Care ","Health Care  ","United Kingdom","Europe","AIM ","No","3.47"
"","04/07/1996","CONCURRENT TECHNOLOGIES PLC","Technology","Technology","United Kingdom","Europe","AIM ","No","65.45"
"","31/05/2006","CONDOR GOLD PLC","Basic Materials","Basic Resources","United Kingdom","Europe","AIM ","No","19.88"
"","30/08/2006","CONNECT GROUP PLC","Industrials","Industrial Goods and Services","United Kingdom","Europe","MAIN MARKET ","No","85.44"
"","30/05/2000","CONROY GOLD & NATURAL RESOURCES PLC","Basic Materials","Basic Resources","Ireland","Europe","AIM ","Yes","2.43"
"","15/08/1983","CONSORT MEDICAL PLC","Health Care ","Health Care  ","United Kingdom","Europe","MAIN MARKET ","No","496.11"
"","01/11/2017","CONTANGO HOLDINGS PLC","Financials","Financial Services ","United Kingdom","Europe","MAIN MARKET ","No","1.61"
"","09/11/2017","CONTOURGLOBAL PLC","Utilities","Utilities","United Kingdom","Europe","MAIN MARKET ","No","1,287.77"
"","26/10/2016","CONVATEC GROUP PLC","Health Care ","Health Care  ","United Kingdom","Europe","MAIN MARKET ","No","4,125.71"
"","27/08/2009","CONYGAR INVESTMENT COMPANY PLC (THE)","Real Estate","Real Estate ","United Kingdom","Europe","AIM ","No","82.26"
"","09/10/2017","CORA GOLD LIMITED","Basic Materials","Basic Resources","British Virgin Islands","North America","AIM ","Yes","7.62"
"","06/09/2011","CORAL PRODUCTS PLC","Industrials","Industrial Goods and Services","United Kingdom","Europe","AIM ","No","5.68"
"","09/10/2000","CORERO NETWORK SECURITY PLC","Technology","Technology","United Kingdom","Europe","AIM ","No","25.61"
"","24/02/2017","CORO ENERGY PLC","Energy","Energy","United Kingdom","Europe","AIM ","No","13.03"
"","03/01/1979","COSTAIN GROUP PLC","Industrials","Construction and Materials","United Kingdom","Europe","MAIN MARKET ","No","212.02"
"","12/02/2016","COUNTRYSIDE PROPERTIES PLC","Consumer Discretionary","Consumer Products and Services","United Kingdom","Europe","MAIN MARKET ","No","2,196"
"","25/03/2013","COUNTRYWIDE PLC","Real Estate","Real Estate ","United Kingdom","Europe","MAIN MARKET ","No","123.98"
"","29/06/1999","CPL RESOURCES PLC","Industrials","Industrial Goods and Services","Ireland","Europe","AIM ","Yes","190.74"
"","11/02/2015","CPPGROUP PLC","Industrials","Industrial Goods and Services","United Kingdom","Europe","AIM ","No","31.04"
"","04/11/1994","CQS NATURAL RESOURCES GROWTH AND INCOME PLC","Financials","Financial Services ","United Kingdom","Europe","MAIN MARKET ","No","56.25"
"","07/03/2007","CQS NEW CITY HIGH YIELD FUND LIMITED","Financials","Financial Services ","Jersey","Europe","MAIN MARKET ","No","256.3"
"","13/09/2007","CRANEWARE PLC","Financials","Financial Services ","United Kingdom","Europe","AIM ","No","509.7"
"","13/07/1993","CRANSWICK PLC","Consumer Staples ","Food, Beverage and Tobacco ","United Kingdom","Europe","MAIN MARKET ","No","1,862.33"
"","04/08/2004","CRAVEN HOUSE CAPITAL PLC","Financials","Financial Services ","United Kingdom","Europe","AIM ","No","5.96"
"","30/08/1994","CREIGHTONS PLC","Consumer Discretionary","Consumer Products and Services","United Kingdom","Europe","MAIN MARKET ","No","26.55"
"","09/12/2016","CREO MEDICAL GROUP PLC","Health Care ","Health Care  ","United Kingdom","Europe","AIM ","No","260.91"
"","18/02/2013","CREST NICHOLSON HOLDINGS PLC","Consumer Discretionary","Consumer Products and Services","United Kingdom","Europe","MAIN MARKET ","No","1,284.60"
"","02/02/1973","CRH PLC","Industrials","Construction and Materials","Ireland","Europe","MAIN MARKET ","Yes","22,510.88"
"","22/08/2006","CRIMSON TIDE PLC","Technology","Technology","United Kingdom","Europe","AIM ","No","10.06"
"","10/06/1964","CRODA INTERNATIONAL PLC","Basic Materials","Chemicals","United Kingdom","Europe","MAIN MARKET ","No","6,412.26"
"","16/04/2004","CROMA SECURITY SOLUTIONS GROUP PLC","Industrials","Industrial Goods and Services","United Kingdom","Europe","AIM ","No","13.93"
"","31/08/2007","CROPPER (JAMES) PLC","Basic Materials","Basic Resources","United Kingdom","Europe","AIM ","No","128.99"
"","14/12/2018","CROSSWORD CYBERSECURITY PLC","Technology","Technology","United Kingdom","Europe","AIM ","No","19.72"
"","08/04/1998","CROWN PLACE VCT PLC","Financials","Financial Services ","United Kingdom","Europe","MAIN MARKET ","No","60.97"
"","17/06/2008","CRYSTAL AMBER FUND LIMITED","Financials","Financial Services ","Guernsey","Europe","AIM ","No","111.02"
"","07/05/2015","CURTIS BANKS GROUP PLC","Financials","Financial Services ","United Kingdom","Europe","AIM ","No","191.12"
"","04/10/2017","CURZON ENERGY PLC","Energy","Energy","United Kingdom","Europe","MAIN MARKET ","No","0.71"
"","26/03/2014","CUSTODIAN REIT PLC","Real Estate","Real Estate ","United Kingdom","Europe","MAIN MARKET ","No","469.23"
"","25/06/2013","CVC CREDIT PARTNERS EUROPEAN OPPORTUNITIES LIMITED","Financials","Financial Services ","Jersey","Europe","MAIN MARKET ","No","450.69"
"","10/10/2007","CVS GROUP PLC","Consumer Discretionary","Consumer Products and Services","United Kingdom","Europe","AIM ","No","810.41"
"","07/12/2005","CYANCONNODE HOLDINGS PLC","Telecommunications","Telecommunications","United Kingdom","Europe","AIM ","No","5.85"
"","16/06/2008","D4T4 SOLUTIONS PLC","Technology","Technology","United Kingdom","Europe","AIM ","No","81.49"
"","15/07/1959","DAEJAN HOLDINGS PLC","Real Estate","Real Estate ","United Kingdom","Europe","MAIN MARKET ","No","847.36"
"","11/11/1932","DAILY MAIL & GENERAL TRUST PLC","Consumer Discretionary","Media","United Kingdom","Europe","MAIN MARKET ","No","1,708.83"
"","14/05/1990","DAIRY FARM INTERNATIONAL HOLDINGS LD","Consumer Staples ","Personal Care, Drug and Grocery Stores ","Bermuda","North America","MAIN MARKET ","Yes","18,820.03"
"","30/06/2016","DALATA HOTEL GROUP PLC","Consumer Discretionary","Travel and Leisure","Ireland","Europe","MAIN MARKET ","Yes","727.64"
"","24/07/2018","DANAKALI LIMITED","Basic Materials","Basic Resources","Australia","Pacific","MAIN MARKET ","Yes","103.58"
"","15/08/2005","DART GROUP PLC","Consumer Discretionary","Travel and Leisure","United Kingdom","Europe","AIM ","No","2,531.33"
"","21/03/1997","DATANG INTERNATIONAL POWER GENERATION COMPANY LD","Utilities","Utilities","China","Asia","MAIN MARKET ","Yes","1,569.04"
"","29/01/2016","DAVICTUS PLC","Financials","Financial Services ","Jersey","Europe","MAIN MARKET ","No","1.24"
"","19/05/1994","DCC PLC","Industrials","Industrial Goods and Services","Ireland","Europe","MAIN MARKET ","Yes","6,033.68"
"","23/02/2006","DCD MEDIA PLC","Consumer Discretionary","Media","United Kingdom","Europe","AIM ","No","6.99"
"","21/09/2000","DECHRA PHARMACEUTICALS PLC","Health Care ","Health Care  ","United Kingdom","Europe","MAIN MARKET ","No","2,925.43"
"","31/12/2007","DEEPMATTER GROUP PLC","Technology","Technology","United Kingdom","Europe","AIM ","No","13.99"
"","18/03/2013","DEKEL AGRI-VISION PLC","Consumer Staples ","Food, Beverage and Tobacco ","Cyprus","Europe","AIM ","Yes","12.5"
"","27/03/1947","DE LA RUE PLC","Industrials","Industrial Goods and Services","United Kingdom","Europe","MAIN MARKET ","No","145.59"
"","08/11/2001","DELTEX MEDICAL GROUP PLC","Health Care ","Health Care  ","United Kingdom","Europe","AIM ","No","7.21"
"","13/08/1984","DERWENT LONDON PLC","Real Estate","Real Estate ","United Kingdom","Europe","MAIN MARKET ","No","4,593.88"
"","04/09/2017","DESTINY PHARMA PLC","Health Care ","Health Care  ","United Kingdom","Europe","AIM ","No","17.77"
"","21/01/2019","DEV CLEVER HOLDINGS PLC","Technology","Technology","United Kingdom","Europe","MAIN MARKET ","No","8"
"","30/06/1993","DEVRO PLC","Consumer Staples ","Food, Beverage and Tobacco ","United Kingdom","Europe","MAIN MARKET ","No","285.48"
"","22/02/2006","DEWHURST PLC","Technology","Technology","United Kingdom","Europe","AIM ","No","78.28"
"","11/03/2015","DFS FURNITURE PLC","Consumer Discretionary","Retail ","United Kingdom","Europe","MAIN MARKET ","No","593.07"
"","21/03/2019","DIACEUTICS PLC","Health Care ","Health Care  ","United Kingdom","Europe","AIM ","No","90.81"
"","01/04/1952","DIAGEO PLC","Consumer Staples ","Food, Beverage and Tobacco ","United Kingdom","Europe","MAIN MARKET ","No","70,331.72"
"","09/11/1993","DIALIGHT PLC","Industrials","Industrial Goods and Services","United Kingdom","Europe","MAIN MARKET ","No","85.9"
"","11/12/2007","DIAMOND BANK PLC","Financials","Banks","Nigeria","Africa","PROFESSIONAL SECURITIES MARKET ","Yes","-"
"","30/04/2003","DIGITALBOX PLC","Financials","Financial Services ","United Kingdom","Europe","AIM ","No","6.77"
"","08/04/2004","DIGNITY PLC","Consumer Discretionary","Consumer Products and Services","United Kingdom","Europe","MAIN MARKET ","No","284.57"
"","15/06/2006","DILLISTONE GROUP PLC","Technology","Technology","United Kingdom","Europe","AIM ","No","6.39"
"","12/06/1960","DIPLOMA PLC","Industrials","Industrial Goods and Services","United Kingdom","Europe","MAIN MARKET ","No","2,205.91"
"","27/05/2016","DIRECTA PLUS PLC","Basic Materials","Chemicals","United Kingdom","Europe","AIM ","No","45.75"
"","16/10/2012","DIRECT LINE INSURANCE GROUP PLC","Financials","Insurance","United Kingdom","Europe","MAIN MARKET ","No","4,644.75"
"","28/03/1994","DISCOVERIE GROUP PLC","Technology","Technology","United Kingdom","Europe","MAIN MARKET ","No","505.62"
"","13/04/2018","DISH TV INDIA LIMITED","Consumer Discretionary","Media","India","Asia","PROFESSIONAL SECURITIES MARKET ","Yes","-"
"","20/01/2004","DISTIL PLC","Consumer Staples ","Food, Beverage and Tobacco ","United Kingdom","Europe","AIM ","No","4.52"
"","09/05/2019","DISTRIBUTION FINANCE CAPITAL HOLDINGS PLC","Financials","Financial Services ","United Kingdom","Europe","AIM ","No","97.04"
"","24/12/2015","DIURNAL GROUP PLC","Health Care ","Health Care  ","United Kingdom","Europe","AIM ","No","22.9"
"","28/04/2011","DIVERSE INCOME TRUST (THE) PLC","Financials","Financial Services ","United Kingdom","Europe","MAIN MARKET ","No","351.81"
"","03/02/2017","DIVERSIFIED GAS & OIL PLC","Energy","Energy","United Kingdom","Europe","AIM ","No","587.7"
"","26/06/2013","DIXONS CARPHONE PLC","Consumer Discretionary","Retail ","United Kingdom","Europe","MAIN MARKET ","No","1,573.25"
"","31/03/2003","DODS GROUP PLC","Consumer Discretionary","Media","United Kingdom","Europe","AIM ","No","22.79"
"","08/12/2005","DOLPHIN CAPITAL INVESTORS LIMITED","Real Estate","Real Estate ","British Virgin Islands","North America","AIM ","Yes","36.19"
"","19/05/2008","DOMINO'S PIZZA GROUP PLC","Consumer Discretionary","Travel and Leisure","United Kingdom","Europe","MAIN MARKET ","No","1,427.83"
"","13/12/2010","DORIC NIMROD AIR ONE LIMITED","Financials","Financial Services ","Guernsey","Europe","MAIN MARKET ","No","28.02"
"","02/07/2013","DORIC NIMROD AIR THREE LIMITED","Industrials","Industrial Goods and Services","Guernsey","Europe","MAIN MARKET ","No","147.4"
"","14/07/2011","DORIC NIMROD AIR TWO LIMITED","Industrials","Industrial Goods and Services","Guernsey","Europe","MAIN MARKET ","No","221.12"
"","29/03/2011","DOTDIGITAL GROUP PLC","Technology","Technology","United Kingdom","Europe","AIM ","No","338.1"
"","25/03/2009","DOWNING FOUR VCT PLC","Financials","Financial Services ","United Kingdom","Europe","MAIN MARKET ","No","65.49"
"","03/05/1996","DOWNING ONE VCT PLC","Financials","Financial Services ","United Kingdom","Europe","MAIN MARKET ","No","95.35"
"","09/05/2017","DOWNING STRATEGIC MICRO-CAP INVESTMENT TRUST PLC","Financials","Financial Services ","United Kingdom","Europe","MAIN MARKET ","No","39.61"
"","13/04/2005","DOWNING THREE VCT PLC","Financials","Financial Services ","United Kingdom","Europe","MAIN MARKET ","No","12.22"
"","05/04/2005","DOWNING TWO VCT PLC","Financials","Financial Services ","United Kingdom","Europe","MAIN MARKET ","No","22.28"
"","04/10/2013","DP AIRCRAFT I LIMITED","Industrials","Industrial Goods and Services","Guernsey","Europe","MAIN MARKET ","No","121.48"
"","28/06/2017","DP EURASIA N.V.","Consumer Discretionary","Travel and Leisure","Netherlands","Europe","MAIN MARKET ","Yes","91.58"
"","28/07/2010","DP POLAND PLC","Consumer Discretionary","Travel and Leisure","United Kingdom","Europe","AIM ","No","19.65"
"","01/06/2007","DRAGON-UKRAINIAN PROPERTIES & DEVELOPMENT PLC","Real Estate","Real Estate ","Isle of Man","Europe","AIM ","No","11.76"
"","15/06/2016","DRAPER ESPRIT PLC","Financials","Financial Services ","United Kingdom","Europe","AIM ","No","606.96"
"","18/05/1998","DRAPER ESPRIT VCT PLC","Financials","Financial Services ","United Kingdom","Europe","MAIN MARKET ","No","42.29"
"","15/12/2005","DRAX GROUP PLC","Utilities","Utilities","United Kingdom","Europe","MAIN MARKET ","No","1,078.85"
"","13/10/2005","DRIVER GROUP PLC","Industrials","Industrial Goods and Services","United Kingdom","Europe","AIM ","No","33.13"
"","29/05/2015","DRUM INCOME PLUS REIT PLC","Real Estate","Real Estate ","United Kingdom","Europe","MAIN MARKET ","No","29.61"
"","29/03/2017","DUKEMOUNT CAPITAL PLC","Real Estate","Real Estate ","United Kingdom","Europe","MAIN MARKET ","No","2.75"
"","09/07/2012","DUKE ROYALTY LIMITED","Financials","Financial Services ","Guernsey","Europe","AIM ","No","110.95"
"","01/04/1987","DUNEDIN ENTERPRISE INVESTMENT TRUST PLC","Financials","Financial Services ","United Kingdom","Europe","MAIN MARKET ","No","74.53"
"","21/11/1949","DUNEDIN INCOME GROWTH INVESTMENT TRUST PLC","Financials","Financial Services ","United Kingdom","Europe","MAIN MARKET ","No","446.04"
"","24/10/2006","DUNELM GROUP PLC","Consumer Discretionary","Retail ","United Kingdom","Europe","MAIN MARKET ","No","2,340.96"
"","11/03/2019","DWF GROUP PLC","Industrials","Industrial Goods and Services","United Kingdom","Europe","MAIN MARKET ","No","434.56"
"","27/02/2014","DX (GROUP) PLC","Industrials","Industrial Goods and Services","United Kingdom","Europe","AIM ","No","71.71"
"","16/04/2014","EAGLE EYE SOLUTIONS GROUP PLC","Technology","Technology","United Kingdom","Europe","AIM ","No","54.96"
"","30/06/2014","EASYHOTEL PLC","Consumer Discretionary","Travel and Leisure","United Kingdom","Europe","AIM ","No","120.41"
"","22/11/2000","EASYJET PLC","Consumer Discretionary","Travel and Leisure","United Kingdom","Europe","MAIN MARKET ","No","5,533.11"
"","05/05/2000","EBIQUITY PLC","Consumer Discretionary","Media","United Kingdom","Europe","AIM ","No","28.09"
"","21/09/1995","ECCLESIASTICAL INSURANCE OFFICE PLC","Financials","Insurance","United Kingdom","Europe","MAIN MARKET ","No","169.79"
"","12/12/2005","ECHO ENERGY PLC","Energy","Energy","United Kingdom","Europe","AIM ","No","14.77"
"","27/06/2003","ECKOH PLC","Technology","Technology","United Kingdom","Europe","AIM ","No","145.97"
"","26/09/1995","ECO ANIMAL HEALTH GROUP PLC","Health Care ","Health Care  ","United Kingdom","Europe","AIM ","No","178.25"
"","08/02/2017","ECO (ATLANTIC) OIL & GAS LTD","Energy","Energy","Canada","North America","AIM ","Yes","77.57"
"","26/09/2016","ECOFIN GLOBAL UTILITIES AND INFRASTRUCTURE TRUST PLC","Financials","Financial Services ","United Kingdom","Europe","MAIN MARKET ","No","156.64"
"","20/01/2006","ECR MINERALS PLC","Basic Materials","Basic Resources","United Kingdom","Europe","AIM ","No","2.82"
"","14/12/2016","ECSC GROUP PLC","Technology","Technology","United Kingdom","Europe","AIM ","No","9.78"
"","25/04/2017","EDDIE STOBART LOGISTICS PLC","Industrials","Industrial Goods and Services","United Kingdom","Europe","AIM ","No","269.34"
"","11/05/2012","EDEN RESEARCH PLC","Basic Materials","Chemicals","United Kingdom","Europe","AIM ","No","16.58"
"","21/02/2005","EDENVILLE ENERGY PLC","Basic Materials","Basic Resources","United Kingdom","Europe","AIM ","No","3.75"
